action_type,minutes_remaining,period,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,matchup,shot_made_flag
Jump Shot,0,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Home,0
Jump Shot,4,3,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Home,0
Jump Shot,3,3,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Home,0
Jump Shot,3,3,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Home,0
Jump Shot,2,3,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Home,0
Jump Shot,0,3,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Home,0
Jump Shot,10,4,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Home,0
Jump Shot,6,4,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Home,0
Jump Shot,4,4,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Home,0
Tip Shot,1,4,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Driving Layup Shot,7,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Jump Shot,11,2,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Home,0
Jump Shot,10,2,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Home,0
Layup Shot,1,2,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Driving Layup Shot,0,2,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Jump Shot,10,3,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Home,0
Jump Shot,5,3,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Home,0
Layup Shot,5,4,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Jump Shot,11,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Away,0
Jump Shot,8,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Away,0
Jump Shot,8,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Away,0
Driving Layup Shot,7,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Away,0
Jump Shot,1,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Away,0
Jump Shot,0,2,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Away,0
Jump Shot,0,2,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Away,0
Jump Shot,0,2,3PT Field Goal,Back Court(BC),Backcourt,Back Court Shot,Away,0
Jump Shot,8,3,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Away,0
Jump Shot,2,3,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Away,0
Jump Shot,0,3,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Away,0
Jump Shot,9,4,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Away,0
Jump Shot,5,4,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Away,0
Jump Shot,2,5,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Away,0
Jump Shot,9,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Away,0
Driving Layup Shot,8,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Away,0
Jump Shot,4,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Away,0
Jump Shot,11,2,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Away,0
Jump Shot,0,2,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Away,0
Jump Shot,11,3,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Away,0
Jump Shot,8,3,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Away,0
Driving Layup Shot,11,4,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Away,0
Jump Shot,0,4,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Away,0
Jump Shot,9,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Home,0
Jump Shot,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Home,0
Layup Shot,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Jump Shot,6,2,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Home,0
Jump Shot,0,2,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Home,0
Jump Shot,9,3,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Home,0
Jump Shot,6,3,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Home,0
Driving Layup Shot,1,3,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Jump Shot,11,4,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Home,0
Jump Shot,10,4,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Home,0
Driving Layup Shot,10,4,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Layup Shot,10,4,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Jump Shot,1,4,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Home,0
Jump Shot,0,4,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Home,0
Jump Shot,8,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Home,0
Jump Shot,4,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Home,0
Layup Shot,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Dunk Shot,6,3,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Turnaround Jump Shot,5,3,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Home,0
Layup Shot,2,3,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Jump Shot,10,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Home,0
Jump Shot,10,3,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Home,0
Jump Shot,6,3,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Home,0
Jump Shot,2,3,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,Home,0
Running Jump Shot,9,4,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Home,0
Running Jump Shot,10,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Away,0
Jump Shot,6,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Away,0
Jump Shot,11,3,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Away,0
Jump Shot,7,3,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Away,0
Jump Shot,3,3,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Away,0
Driving Layup Shot,0,3,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Away,0
Jump Shot,11,2,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Home,0
Jump Shot,8,2,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Home,0
Jump Shot,3,2,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Home,0
Jump Shot,7,3,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Home,0
Jump Shot,6,3,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Home,0
Jump Shot,6,3,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Home,0
Jump Shot,4,3,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Home,0
Jump Shot,3,3,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Home,0
Jump Shot,2,3,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Home,0
Running Dunk Shot,1,3,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Jump Shot,0,3,3PT Field Goal,Back Court(BC),Above the Break 3,Back Court Shot,Home,0
Jump Shot,10,4,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Home,0
Jump Shot,8,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Away,0
Jump Shot,7,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Away,0
Jump Shot,0,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Away,0
Jump Shot,0,1,3PT Field Goal,Back Court(BC),Backcourt,Back Court Shot,Away,0
Layup Shot,11,2,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Away,0
Jump Shot,9,2,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Away,0
Jump Shot,1,2,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Away,0
Jump Shot,9,3,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Away,0
Jump Shot,9,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Home,0
Jump Shot,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Home,0
Jump Shot,4,1,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,Home,0
Jump Shot,2,1,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,Home,0
Jump Shot,2,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Home,0
Driving Layup Shot,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Jump Shot,4,2,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Home,0
Jump Shot,9,3,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Home,0
Jump Shot,6,3,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Home,0
Jump Shot,3,3,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Home,0
Jump Shot,11,4,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Home,0
Jump Shot,6,4,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Home,0
Jump Shot,4,4,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Home,0
Running Jump Shot,9,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Home,0
Jump Shot,6,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Home,0
Jump Shot,8,2,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Home,0
Jump Shot,8,2,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Home,0
Jump Shot,8,2,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,Home,0
Jump Shot,5,2,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Home,0
Driving Dunk Shot,1,2,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Jump Shot,0,2,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Home,0
Jump Shot,6,3,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Home,0
Jump Shot,3,3,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Home,0
Jump Shot,0,3,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Home,0
Jump Shot,3,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Home,0
Jump Shot,0,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Home,0
Jump Shot,11,2,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Home,0
Jump Shot,10,2,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,Home,0
Jump Shot,5,2,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Home,0
Jump Shot,3,2,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Home,0
Jump Shot,2,2,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Home,0
Jump Shot,0,2,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Home,0
Jump Shot,9,3,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Home,0
Layup Shot,9,3,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Jump Shot,10,4,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Home,0
Jump Shot,6,4,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Home,0
Jump Shot,10,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Away,0
Tip Shot,7,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Away,0
Jump Shot,3,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Away,0
Jump Shot,3,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Away,0
Jump Shot,10,2,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Away,0
Jump Shot,6,2,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Away,0
Driving Layup Shot,1,2,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Away,0
Layup Shot,0,2,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Away,0
Jump Shot,8,3,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Away,0
Jump Shot,2,3,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Away,0
Jump Shot,5,4,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,Away,0
Jump Shot,3,4,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,Away,0
Jump Shot,1,4,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Away,0
Jump Shot,0,4,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Away,0
Jump Shot,0,4,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Away,0
Jump Shot,0,5,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Away,0
Jump Shot,7,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Home,0
Jump Shot,3,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Home,0
Jump Shot,11,2,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Home,0
Jump Shot,2,2,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Home,0
Jump Shot,11,3,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,Home,0
Jump Shot,11,3,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Home,0
Jump Shot,10,3,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Home,0
Jump Shot,6,3,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Home,0
Jump Shot,5,3,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Home,0
Jump Shot,3,3,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Home,0
Jump Shot,11,4,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Home,0
Jump Shot,11,4,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Home,0
Jump Shot,2,4,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Home,0
Jump Shot,9,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Home,0
Jump Shot,6,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Home,0
Jump Shot,0,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Home,0
Jump Shot,6,3,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Home,0
Reverse Layup Shot,3,3,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Jump Shot,0,3,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,Home,0
Jump Shot,0,3,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Home,0
Jump Shot,10,4,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Home,0
Jump Shot,10,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Home,0
Driving Layup Shot,10,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Layup Shot,10,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Jump Shot,9,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Home,0
Layup Shot,5,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Dunk Shot,4,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Jump Shot,5,2,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Home,0
Jump Shot,3,2,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Home,0
Jump Shot,2,2,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Home,0
Jump Shot,0,2,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Home,0
Jump Shot,11,3,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Home,0
Jump Shot,7,3,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Home,0
Jump Shot,2,3,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Home,0
Jump Shot,6,4,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Home,0
Jump Shot,4,4,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Home,0
Jump Shot,2,4,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Home,0
Jump Shot,2,4,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Home,0
Jump Shot,2,4,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Home,0
Running Jump Shot,0,4,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,Home,0
Jump Shot,0,4,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Home,0
Layup Shot,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Away,0
Jump Shot,10,2,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Away,0
Jump Shot,7,2,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Away,0
Running Jump Shot,0,2,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Away,0
Jump Shot,7,3,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Away,0
Running Jump Shot,0,3,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Away,0
Jump Shot,11,4,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Away,0
Jump Shot,6,4,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Away,0
Jump Shot,3,4,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Away,0
Jump Shot,0,4,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Away,0
Alley Oop Layup shot,6,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Jump Shot,4,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Home,0
Jump Shot,10,2,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Home,0
Jump Shot,10,2,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Home,0
Jump Shot,1,2,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Home,0
Jump Shot,11,3,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Home,0
Reverse Layup Shot,8,3,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Jump Shot,7,3,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Home,0
Layup Shot,5,3,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Home,0
Jump Shot,8,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Away,0
Jump Shot,4,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Away,0
Jump Shot,1,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Away,0
Jump Shot,0,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Away,0
Jump Shot,0,1,3PT Field Goal,Back Court(BC),Backcourt,Back Court Shot,Away,0
Jump Shot,7,3,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,Away,0
Jump Shot,11,4,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,Away,0
Turnaround Jump Shot,9,4,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Away,0
Jump Shot,3,4,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,Away,0
Jump Shot,3,4,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Away,0
Jump Shot,0,4,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Away,0
Turnaround Jump Shot,4,5,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Away,0
Jump Shot,7,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Away,0
Jump Shot,6,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,Away,0
Jump Shot,11,2,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,Away,0
Jump Shot,9,2,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,Away,0
Jump Shot,7,2,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,Away,0
Running Jump Shot,0,2,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Away,0
Driving Layup Shot,10,3,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Away,0
Jump Shot,5,3,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,Away,0
Jump Shot,0,3,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Away,0
Jump Shot,11,4,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,Away,0
Driving Layup Shot,10,4,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,Away,0
Running Jump Shot,3,4,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,Away,0
Jump Shot,5,2,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,Away,0
